Index,Track Name,Latitude,Longitude,Elevation,MetersfromLastNode
0,community side trails,18.0298530000,-66.0299350000,148.5620000000,0.0000000000
228,community side trails,18.0350588000,-66.0310122000,188.3920000000,591.0712090821
231,community side trails,18.0350508000,-66.0309876000,192.3920000000,4.6119994823
237,community side trails,18.0351542000,-66.0308186000,193.2520000000,21.9789313569
249,community side trails,18.0347710000,-66.0311032000,191.7420000000,52.6827130695
430,community side trails,18.0334468000,-66.0325826000,167.8720000000,215.7668924443
431,community side trails,18.0334472000,-66.0325996000,167.6820000000,2.1748359001
432,community side trails,18.0334446000,-66.0325854000,167.4020000000,2.2172989509
496,community side trails,18.0312468000,-66.0300178000,137.8920000000,366.4938426981
625,community side trails,18.0320348000,-66.0360424000,175.3720000000,644.0410836729
626,community side trails,18.0320294000,-66.0360376000,175.0320000000,0.5097091061
630,community side trails,18.0320226000,-66.0358806000,172.0220000000,16.9073257242
645,community side trails,18.0323016000,-66.0362668000,183.3320000000,52.7279994372
650,community side trails,18.0321736000,-66.0363428000,180.8020000000,16.5013168895
651,community side trails,18.0321574000,-66.0363434000,180.6120000000,1.5308017392
700,community side trails,18.0325622000,-66.0342212000,156.8420000000,230.2539321701
1024,community side trails,18.0445186000,-66.0286036000,211.7720000000,1457.4817348684
1054,community side trails,18.0435490000,-66.0278676000,228.0120000000,133.8130298213
1063,community side trails,18.0438364000,-66.0280688000,232.3420000000,38.5610741256
1074,community side trails,18.0435442000,-66.0278598000,232.2720000000,39.0319624720
1242,community side trails,18.0428270000,-66.0334870000,172.3620000000,602.6275744364
2041,community side trails,18.0582160000,-66.0321060000,212.8620000000,1717.7973294330
2042,sidepath (08-06),18.0410860000,-66.0347000000,105.3260000000,0.0000000000
2043,sidepath (08-06),18.0410830000,-66.0347010000,104.4360000000,0.9676277036
2046,sidepath (08-06),18.0411020000,-66.0346878000,104.1160000000,2.2329445655
2047,sidepath (08-06),18.0411054000,-66.0346802000,104.8860000000,1.1218701060
2048,sidepath (08-06),18.0411010000,-66.0346788000,105.1160000000,0.8476983749
2049,sidepath (08-06),18.0410996000,-66.0346740000,104.8860000000,0.2982462794
2050,sidepath (08-06),18.0411000000,-66.0346730000,104.6960000000,0.1900000000
2051,sidepath (08-06),18.0410946000,-66.0346746000,104.7560000000,0.5727631175
2082,sidepath (08-06),18.0406664000,-66.0351388000,108.4660000000,68.5301082055
2083,sidepath (08-06),18.0406614000,-66.0351424000,109.1260000000,0.8718128175
2084,sidepath (08-06),18.0406616000,-66.0351518000,109.1560000000,0.7227667941
2100,sidepath (08-06),18.0407628000,-66.0354276000,111.2520000000,31.7255968993
2104,sidepath (08-06),18.0408234000,-66.0354498000,113.1760000000,7.2463532136
2106,sidepath (08-06),18.0408348000,-66.0354826000,112.8460000000,4.5441241643
2107,sidepath (08-06),18.0408368000,-66.0354880000,112.2760000000,0.6007918468
2108,sidepath (08-06),18.0408340000,-66.0354836000,111.2520000000,1.0414541964
2112,sidepath (08-06),18.0407862000,-66.0354448000,111.2520000000,6.8583915399
2120,sidepath (08-06),18.0409144000,-66.0355128000,111.2520000000,15.9666856136
2127,sidepath (08-06),18.0408068000,-66.0354468000,112.4960000000,14.0279140295
2131,sidepath (08-06),18.0407806000,-66.0354348000,114.6560000000,3.6467150236
2132,sidepath (08-06),18.0407726000,-66.0354256000,114.3660000000,1.7525226224
2133,sidepath (08-06),18.0407678000,-66.0354206000,113.4760000000,1.0566728864
2142,sidepath (08-06),18.0407898000,-66.0355114000,111.2520000000,9.9584525822
2143,sidepath (08-06),18.0407822000,-66.0355044000,112.3260000000,1.5005934320
2144,sidepath (08-06),18.0407734000,-66.0355042000,111.2520000000,1.5656648285
2150,sidepath (08-06),18.0410704000,-66.0364796000,114.3260000000,107.7787332402
2153,sidepath (08-06),18.0410524000,-66.0355352000,118.7760000000,99.0555460025
2156,sidepath (08-06),18.0409574000,-66.0355554000,114.7860000000,11.4482094865
2160,sidepath (08-06),18.0410282000,-66.0356082000,114.8760000000,10.0020730929
2163,sidepath (08-06),18.0410248000,-66.0356340000,113.1660000000,3.4047602551
2165,sidepath (08-06),18.0410128000,-66.0356212000,113.4060000000,1.8550982235
2166,sidepath (08-06),18.0410064000,-66.0356216000,113.5160000000,0.9557044941
2167,sidepath (08-06),18.0410008000,-66.0356306000,113.5260000000,0.9198083250
2172,sidepath (08-06),18.0410586000,-66.0356874000,113.6460000000,9.2960934506
2178,sidepath (08-06),18.0409528000,-66.0357224000,113.5860000000,12.4950639612
2179,sidepath (08-06),18.0409408000,-66.0357254000,113.9160000000,1.5481865092
