Index,Track Name,Latitude,Longitude,Elevation,MetersfromLastNode
0,community side trails,18.0298530000,-66.0299350000,148.5620000000,0.0000000000
52,community side trails,18.0314788000,-66.0319848000,154.0020000000,281.6554801193
97,community side trails,18.0313126000,-66.0298832000,155.9420000000,222.4819818697
192,community side trails,18.0351260000,-66.0299736000,182.6120000000,424.9227573974
215,community side trails,18.0347356000,-66.0310734000,190.6320000000,124.3918561804
216,community side trails,18.0347456000,-66.0310994000,191.1320000000,3.1451966193
217,community side trails,18.0347816000,-66.0311116000,191.4020000000,4.4280488017
224,community side trails,18.0350274000,-66.0310152000,189.7920000000,29.1009398006
228,community side trails,18.0350588000,-66.0310122000,188.3920000000,3.8696710965
230,community side trails,18.0350578000,-66.0309950000,192.2220000000,4.0976885257
231,community side trails,18.0350508000,-66.0309876000,192.3920000000,0.9353516250
237,community side trails,18.0351542000,-66.0308186000,193.2520000000,21.9789313569
238,community side trails,18.0351548000,-66.0308246000,194.0120000000,1.0483914010
249,community side trails,18.0347710000,-66.0311032000,191.7420000000,52.2877756488
250,community side trails,18.0347574000,-66.0310730000,191.3920000000,3.9329281709
271,community side trails,18.0351126000,-66.0300276000,178.8920000000,118.0014840497
389,community side trails,18.0318748000,-66.0308720000,158.0620000000,371.3762631096
430,community side trails,18.0334468000,-66.0325826000,167.8720000000,252.0585827848
431,community side trails,18.0334472000,-66.0325996000,167.6820000000,2.1748359001
432,community side trails,18.0334446000,-66.0325854000,167.4020000000,2.2172989509
433,community side trails,18.0334074000,-66.0325678000,167.3620000000,4.4199941406
494,community side trails,18.0312988000,-66.0300664000,136.7820000000,354.5353818376
496,community side trails,18.0312468000,-66.0300178000,137.8920000000,8.3220191692
624,community side trails,18.0320422000,-66.0360268000,175.2120000000,642.7072036485
625,community side trails,18.0320348000,-66.0360424000,175.3720000000,1.6396905962
626,community side trails,18.0320294000,-66.0360376000,175.0320000000,0.5097091061
630,community side trails,18.0320226000,-66.0358806000,172.0220000000,16.9073257242
641,community side trails,18.0321616000,-66.0363006000,180.1220000000,47.4202076686
645,community side trails,18.0323016000,-66.0362668000,183.3320000000,15.9743020997
650,community side trails,18.0321736000,-66.0363428000,180.8020000000,16.5013168895
651,community side trails,18.0321574000,-66.0363434000,180.6120000000,1.5308017392
699,community side trails,18.0325406000,-66.0342438000,156.8320000000,227.7056413169
700,community side trails,18.0325622000,-66.0342212000,156.8420000000,3.1440867253
702,community side trails,18.0326140000,-66.0342438000,157.0620000000,6.0981976905
829,community side trails,18.0411188000,-66.0348780000,164.2720000000,948.2059384044
830,community side trails,18.0411604000,-66.0348860000,164.2620000000,4.8013921527
933,community side trails,18.0451440000,-66.0323026000,199.1820000000,521.7062945275
968,community side trails,18.0450624000,-66.0307128000,200.5920000000,167.7765986904
1024,community side trails,18.0445186000,-66.0286036000,211.7720000000,232.1284332907
1054,community side trails,18.0435490000,-66.0278676000,228.0120000000,133.8130298213
1055,community side trails,18.0435844000,-66.0278568000,228.2120000000,4.4243087719
1063,community side trails,18.0438364000,-66.0280688000,232.3420000000,36.0168821578
1073,community side trails,18.0435596000,-66.0278442000,232.4920000000,38.4724568722
1074,community side trails,18.0435442000,-66.0278598000,232.2720000000,2.2482031315
1075,community side trails,18.0435468000,-66.0278852000,231.7320000000,2.2407417044
1080,community side trails,18.0436528000,-66.0281092000,228.4120000000,26.8699432442
1082,community side trails,18.0436476000,-66.0281476000,230.1240000000,4.0675067142
1102,community side trails,18.0444846000,-66.0285726000,211.8620000000,105.3299326100
1104,community side trails,18.0445190000,-66.0286580000,211.8720000000,9.4610770774
1217,community side trails,18.0417614000,-66.0335628000,182.1920000000,603.1116159865
1219,community side trails,18.0418366000,-66.0336124000,181.2320000000,10.0476189922
1241,community side trails,18.0427878000,-66.0334718000,171.9420000000,107.4300415756
1242,community side trails,18.0428270000,-66.0334870000,172.3620000000,4.6187891995
1244,community side trails,18.0428444000,-66.0335666000,172.1020000000,9.5813686842
1292,community side trails,18.0411622000,-66.0349462000,165.6620000000,236.8277247892
1538,community side trails,18.0519200000,-66.0502942000,184.8020000000,2015.9527272597
1539,community side trails,18.0519166000,-66.0503416000,184.7420000000,5.0692834080
1542,community side trails,18.0518272000,-66.0504040000,184.6720000000,12.3860513398
1679,community side trails,18.0468276000,-66.0407048000,183.8020000000,1167.0412401213
1730,community side trails,18.0435324000,-66.0388520000,169.9220000000,415.4951657823
1933,community side trails,18.0578316000,-66.0336604000,193.7220000000,1682.0128323480
2015,community side trails,18.0577586000,-66.0315572000,202.7220000000,222.7234869374
2029,community side trails,18.0584244000,-66.0316018000,209.2020000000,74.4586701579
2030,community side trails,18.0584528000,-66.0316356000,209.1520000000,5.4028792844
2041,community side trails,18.0582160000,-66.0321060000,212.8620000000,55.8676660910
2042,sidepath (08-06),18.0410860000,-66.0347000000,105.3260000000,0.0000000000
2043,sidepath (08-06),18.0410830000,-66.0347010000,104.4360000000,0.9676277036
2044,sidepath (08-06),18.0410870000,-66.0346964000,103.8360000000,0.7100727940
2045,sidepath (08-06),18.0410948000,-66.0346946000,103.6660000000,1.3594924725
2046,sidepath (08-06),18.0411020000,-66.0346878000,104.1160000000,0.7259184450
2047,sidepath (08-06),18.0411054000,-66.0346802000,104.8860000000,1.1218701060
2048,sidepath (08-06),18.0411010000,-66.0346788000,105.1160000000,0.8476983749
2049,sidepath (08-06),18.0410996000,-66.0346740000,104.8860000000,0.2982462794
2050,sidepath (08-06),18.0411000000,-66.0346730000,104.6960000000,0.1900000000
2051,sidepath (08-06),18.0410946000,-66.0346746000,104.7560000000,0.5727631175
2061,sidepath (08-06),18.0410270000,-66.0348672000,105.5560000000,20.8719700062
2075,sidepath (08-06),18.0407476000,-66.0350224000,106.5260000000,35.4724359703
2079,sidepath (08-06),18.0406888000,-66.0350876000,107.0360000000,9.5743730036
2082,sidepath (08-06),18.0406664000,-66.0351388000,108.4660000000,6.5181545204
2083,sidepath (08-06),18.0406614000,-66.0351424000,109.1260000000,0.8718128175
2084,sidepath (08-06),18.0406616000,-66.0351518000,109.1560000000,0.7227667941
2085,sidepath (08-06),18.0406710000,-66.0351600000,109.3460000000,1.3621388421
2096,sidepath (08-06),18.0407622000,-66.0353714000,111.2520000000,24.6181428772
2100,sidepath (08-06),18.0407628000,-66.0354276000,111.2520000000,6.4992914165
2104,sidepath (08-06),18.0408234000,-66.0354498000,113.1760000000,7.2463532136
2106,sidepath (08-06),18.0408348000,-66.0354826000,112.8460000000,4.5441241643
2107,sidepath (08-06),18.0408368000,-66.0354880000,112.2760000000,0.6007918468
2108,sidepath (08-06),18.0408340000,-66.0354836000,111.2520000000,1.0414541964
2109,sidepath (08-06),18.0408272000,-66.0354704000,111.2520000000,1.7283617359
2111,sidepath (08-06),18.0407934000,-66.0354526000,111.2520000000,4.3719279339
2112,sidepath (08-06),18.0407862000,-66.0354448000,111.2520000000,0.9197546885
2114,sidepath (08-06),18.0408080000,-66.0354486000,111.2520000000,2.2784471512
2119,sidepath (08-06),18.0409098000,-66.0355122000,111.2520000000,13.4882218883
2120,sidepath (08-06),18.0409144000,-66.0355128000,111.2520000000,0.5696117878
