Index,Track Name,Latitude,Longitude,Elevation,MetersfromLastNode
42,community side trails,18.0310596000,-66.0316498000,152.4120000000,9.1682932749
43,community side trails,18.0311062000,-66.0317198000,152.9520000000,9.5740718926
44,community side trails,18.0311542000,-66.0317802000,153.2620000000,7.8574200238
45,community side trails,18.0312010000,-66.0318322000,153.4620000000,7.7265863648
46,community side trails,18.0312448000,-66.0318768000,153.5620000000,6.9352443082
47,community side trails,18.0312840000,-66.0319128000,153.7220000000,5.8163195935
48,community side trails,18.0313258000,-66.0319442000,153.7920000000,5.8145394832
49,community side trails,18.0313624000,-66.0319660000,153.5820000000,4.7102688397
50,community side trails,18.0314066000,-66.0319854000,153.3520000000,4.9669775446
51,community side trails,18.0314404000,-66.0319926000,153.5420000000,4.0566081243
52,community side trails,18.0314788000,-66.0319848000,154.0020000000,4.2640069041
53,community side trails,18.0315070000,-66.0319630000,154.7120000000,3.9517983256
54,community side trails,18.0315400000,-66.0319244000,155.0020000000,5.6457161039
55,community side trails,18.0315670000,-66.0318890000,155.0620000000,4.0570647862
56,community side trails,18.0315960000,-66.0318518000,155.0420000000,5.4032154853
57,community side trails,18.0316206000,-66.0318210000,155.0320000000,4.0566326926
58,community side trails,18.0316526000,-66.0317806000,154.9920000000,5.5188501818
59,community side trails,18.0316828000,-66.0317366000,155.0020000000,6.1021542416
60,community side trails,18.0317088000,-66.0316838000,154.9120000000,5.8985438470
61,community side trails,18.0317174000,-66.0316298000,154.8320000000,5.8276999093
62,community side trails,18.0317110000,-66.0315846000,154.6020000000,5.0924511390
63,community side trails,18.0316936000,-66.0315414000,154.4220000000,5.4030718036
64,community side trails,18.0316702000,-66.0315064000,154.1520000000,3.9349188273
65,community side trails,18.0316430000,-66.0314706000,153.9520000000,5.2957193610
66,community side trails,18.0316138000,-66.0314330000,153.7520000000,4.8474043096
67,community side trails,18.0315854000,-66.0313962000,153.6320000000,5.4045104929
68,community side trails,18.0315560000,-66.0313540000,153.5820000000,4.8435358020
69,community side trails,18.0315296000,-66.0313144000,153.5020000000,5.8028950214
70,community side trails,18.0315030000,-66.0312694000,153.5720000000,5.2924072230
71,community side trails,18.0314756000,-66.0312200000,153.6020000000,5.8979389275
72,community side trails,18.0314512000,-66.0311722000,153.7420000000,5.8040340835
73,community side trails,18.0314238000,-66.0311184000,153.7720000000,6.5275486178
74,community side trails,18.0314006000,-66.0310694000,153.7820000000,6.2826492779
75,community side trails,18.0313768000,-66.0310180000,153.7620000000,5.7115811843
76,community side trails,18.0313530000,-66.0309642000,153.7420000000,5.7115819086
77,community side trails,18.0313296000,-66.0309100000,153.7520000000,6.9525539597
78,community side trails,18.0313072000,-66.0308542000,153.7620000000,6.3596450457
79,community side trails,18.0312854000,-66.0307980000,153.7920000000,6.2105757850
80,community side trails,18.0312654000,-66.0307406000,153.8120000000,6.8874577189
81,community side trails,18.0312492000,-66.0306810000,153.8720000000,6.7207941561
82,community side trails,18.0312346000,-66.0306212000,153.9020000000,6.0249539856
83,community side trails,18.0312238000,-66.0305600000,154.0220000000,6.6352287538
84,community side trails,18.0312110000,-66.0305012000,154.0120000000,5.9283767197
85,community side trails,18.0312000000,-66.0304430000,154.0920000000,6.5992124316
86,community side trails,18.0311888000,-66.0303868000,154.0920000000,5.9283690100
87,community side trails,18.0311796000,-66.0303326000,154.1420000000,5.8889222936
88,community side trails,18.0311722000,-66.0302804000,154.2020000000,5.8274774167
89,community side trails,18.0311674000,-66.0302304000,154.2820000000,5.7904820837
90,community side trails,18.0311670000,-66.0301842000,154.4320000000,4.3398484172
91,community side trails,18.0311764000,-66.0301268000,154.5920000000,5.8571279076
92,community side trails,18.0311934000,-66.0300816000,154.8020000000,5.4041685257
93,community side trails,18.0312220000,-66.0300306000,154.9520000000,6.6196870323
94,community side trails,18.0312542000,-66.0299978000,155.2520000000,4.6313189650
95,community side trails,18.0312880000,-66.0299612000,155.5420000000,5.7688947141
96,community side trails,18.0313052000,-66.0299234000,155.7620000000,4.0856052315
97,community side trails,18.0313126000,-66.0298832000,155.9420000000,4.4395242842
98,community side trails,18.0313026000,-66.0298410000,155.9820000000,5.1822051344
99,community side trails,18.0312922000,-66.0297998000,155.9920000000,3.8477625964
100,community side trails,18.0312804000,-66.0297548000,156.0220000000,5.1821379573
101,community side trails,18.0312704000,-66.0297064000,155.8620000000,5.1845209578
102,community side trails,18.0312686000,-66.0296064000,155.4720000000,10.1198551325
103,community side trails,18.0312706000,-66.0295324000,154.9820000000,7.9613694605
104,community side trails,18.0312788000,-66.0294382000,154.2520000000,10.1812320098
105,community side trails,18.0312896000,-66.0293888000,153.5720000000,5.9278383407
106,community side trails,18.0313010000,-66.0293448000,153.0120000000,4.5668146896
107,community side trails,18.0313168000,-66.0292974000,152.4720000000,5.3635375531
108,community side trails,18.0313382000,-66.0292516000,152.1120000000,5.5566838397
109,community side trails,18.0313670000,-66.0292174000,152.0120000000,4.3328335045
110,community side trails,18.0314078000,-66.0291878000,152.0820000000,5.9645072763
111,community side trails,18.0314574000,-66.0291790000,152.6020000000,5.5776972246
112,community side trails,18.0315138000,-66.0291828000,153.3120000000,6.1172022556
113,community side trails,18.0315618000,-66.0291942000,153.9920000000,5.7810183197
114,community side trails,18.0316166000,-66.0292164000,155.0220000000,6.3295453494
115,community side trails,18.0316656000,-66.0292394000,155.9520000000,5.9897886613
116,community side trails,18.0317148000,-66.0292604000,157.0720000000,6.0222142042
