Index,Track Name,Latitude,Longitude,Elevation,MetersfromLastNode
2987,extra notes from looped community,18.0432686000,-66.0329344000,156.1700000000,459.2544076387
2988,extra notes from looped community,18.0432676000,-66.0329324000,157.3000000000,1.1300000000
3031,extra notes from looped community,18.0418060000,-66.0343800000,144.3000000000,223.3010447458
3032,small sidepath,18.0438660000,-66.0396050000,114.2620000000,0.0000000000
3034,small sidepath,18.0438614000,-66.0395962000,114.7920000000,1.0615227430
3056,small sidepath,18.0440212000,-66.0400006000,118.3520000000,46.3299507778
3076,small sidepath,18.0438772000,-66.0396498000,113.9320000000,40.4518668636
3108,small sidepath,18.0440512000,-66.0408526000,119.9220000000,128.7302137372
3245,small sidepath,18.0472830000,-66.0427550000,126.9620000000,411.5824792148
3246,small sidepath near community end,18.0472680000,-66.0427560000,138.6840000000,0.0000000000
3247,small sidepath near community end,18.0472650000,-66.0427572000,137.3820000000,1.3562475337
3284,small sidepath near community end,18.0481640000,-66.0425192000,129.4520000000,103.3346268698
3287,small sidepath near community end,18.0472886000,-66.0428244000,145.9120000000,103.8141575552
3289,small sidepath near community end,18.0472880000,-66.0428200000,144.8920000000,1.0200000000
3290,quick side,18.0482560000,-66.0437460000,132.0580000000,0.0000000000
3297,quick side,18.0482750000,-66.0438680000,135.3580000000,13.5720635943
3298,another path,18.0400730000,-66.0354580000,123.1180000000,0.0000000000
3352,another path,18.0391394000,-66.0373862000,136.7780000000,228.3666851936
3457,another path,18.0398130000,-66.0340110000,111.8680000000,365.3510615690
3458,steep path more details,18.0325180000,-66.0336360000,97.6120000000,0.0000000000
3564,steep path more details,18.0320634000,-66.0356908000,114.3720000000,223.1359693395
3566,steep path more details,18.0320624000,-66.0357020000,115.8240000000,2.0480418327
3567,steep path more details,18.0320618000,-66.0357080000,115.8240000000,0.0000000000
3583,steep path more details,18.0320698000,-66.0359246000,113.9820000000,23.9150554214
3584,steep path more details,18.0320722000,-66.0359284000,113.8320000000,0.2419728150
3585,steep path more details,18.0320702000,-66.0359264000,114.0120000000,0.2616311205
3587,steep path more details,18.0320712000,-66.0359174000,113.8120000000,0.7730417941
3600,steep path more details,18.0320930000,-66.0360634000,114.4120000000,15.3770264519
3607,steep path more details,18.0321364000,-66.0360792000,105.0020000000,10.6379531847
3622,steep path more details,18.0323004000,-66.0360232000,115.8240000000,21.9713211926
3662,steep path more details,18.0326294000,-66.0359738000,115.8240000000,36.9101183915
3702,steep path more details,18.0321550000,-66.0363154000,123.4120000000,64.8094046984
3705,steep path more details,18.0321430000,-66.0363122000,122.8120000000,1.2875676119
3706,steep path more details,18.0321476000,-66.0363114000,121.6520000000,1.4804053443
3708,steep path more details,18.0321564000,-66.0363170000,119.3220000000,2.5548494468
3709,steep path more details,18.0321532000,-66.0363154000,118.3620000000,0.9785963638
3785,steep path more details,18.0324380000,-66.0348600000,106.8120000000,158.1876637681
3786,more details last path,18.0312360000,-66.0306210000,77.7360000000,0.0000000000
3879,more details last path,18.0334628000,-66.0325966000,94.7360000000,324.7338099092
3881,more details last path,18.0334560000,-66.0325920000,94.5360000000,1.0669339741
3891,more details last path,18.0336338000,-66.0326444000,91.9360000000,20.5485052948
3922,more details last path,18.0337434000,-66.0330594000,89.9760000000,45.7398178204
3923,more details last path,18.0337452000,-66.0330542000,89.4160000000,0.9333722435
3924,more details last path,18.0337416000,-66.0330488000,89.4760000000,0.3844520423
3957,more details last path,18.0334210000,-66.0325976000,97.0660000000,60.0299154755
3961,more details last path,18.0334276000,-66.0326002000,96.3760000000,1.0261157299
3962,more details last path,18.0334226000,-66.0326008000,96.9560000000,0.8129314785
4176,more details last path,18.0347406000,-66.0310958000,108.4560000000,216.4718728711
4198,more details last path,18.0348822000,-66.0306916000,111.8760000000,46.2336036424
4202,more details last path,18.0348754000,-66.0308194000,111.4160000000,13.7498853499
4207,more details last path,18.0349920000,-66.0304040000,107.4460000000,46.0766464719
4218,more details last path,18.0348950000,-66.0306474000,107.0860000000,28.1630284148
4226,more details last path,18.0349400000,-66.0305362000,108.1560000000,13.3471706897
4227,more details last path,18.0349396000,-66.0305346000,109.1960000000,1.0571900696
4228,more details last path,18.0349406000,-66.0305388000,110.2360000000,1.2803033416
4346,more details last path,18.0320096000,-66.0292312000,80.7720000000,355.4927072389
4348,more details last path,18.0320190000,-66.0292244000,82.5460000000,2.1082946557
4357,more details last path,18.0320022000,-66.0291338000,89.6860000000,11.9467768035
4363,more details last path,18.0319952000,-66.0292098000,87.6560000000,8.2190076219
4456,more details last path,18.0317694000,-66.0315974000,77.7360000000,253.4968907297
4461,more details last path,18.0317484000,-66.0315332000,78.2660000000,7.6503560013
4472,more details last path,18.0317380000,-66.0315360000,78.0860000000,0.9662665678
0,,0.0000000000,0.0000000000,0.0000000000,0.0000000000
