name,lat,long,time,dist,elev
more accurate points of interest,18.0589498,-66.03177260000001,2019-08-05 17:07:52+00:00,0.00020532845759661344,206.506
more accurate points of interest,18.058954,-66.03175660000001,2019-08-05 17:07:56+00:00,0.00020532845759661344,207.07600000000002
more accurate points of interest,18.058965200000006,-66.0317462,2019-08-05 17:07:59+00:00,0.00020532845759661344,207.426
more accurate points of interest,18.058982200000006,-66.0317376,2019-08-05 17:08:02+00:00,0.00020532845759661344,207.686
more accurate points of interest,18.058999,-66.0317366,2019-08-05 17:08:05+00:00,0.00020532845759661344,207.36599999999999
more accurate points of interest,18.059009399999997,-66.03173460000001,2019-08-05 17:08:23+00:00,0.00020532845759661344,206.86599999999999
more accurate points of interest,18.0590138,-66.0317344,2019-08-05 17:08:44+00:00,0.00020532845759661344,205.906
more accurate points of interest,18.059016399999997,-66.031733,2019-08-05 17:09:02+00:00,0.00020532845759661344,204.88600000000002
more accurate points of interest,18.059018,-66.0317292,2019-08-05 17:09:12+00:00,0.00020532845759661344,203.87600000000003
more accurate points of interest,18.0590112,-66.0317302,2019-08-05 17:09:27+00:00,0.00020532845759661344,203.11599999999999
more accurate points of interest,18.0590004,-66.03173100000001,2019-08-05 17:09:55+00:00,0.00020532845759661344,202.746
more accurate points of interest,18.058981399999997,-66.0317364,2019-08-05 17:09:57+00:00,0.00020532845759661344,202.716
more accurate points of interest,18.0589694,-66.0317464,2019-08-05 17:10:00+00:00,0.00020532845759661344,202.98600000000002
more accurate points of interest,18.0589634,-66.03176040000001,2019-08-05 17:10:05+00:00,0.00020532845759661344,203.156
more accurate points of interest,18.058971399999997,-66.03177339999999,2019-08-05 17:10:10+00:00,0.00020532845759661344,203.19600000000003
more accurate points of interest,18.058977399999996,-66.03178220000001,2019-08-05 17:10:34+00:00,0.00020532845759661344,202.356
more accurate points of interest,18.0589864,-66.03178500000001,2019-08-05 17:10:44+00:00,0.00020532845759661344,201.426
more accurate points of interest,18.05898,-66.0317832,2019-08-05 17:10:58+00:00,0.00020532845759661344,200.426
more accurate points of interest,18.058975600000004,-66.03178539999999,2019-08-05 17:11:02+00:00,0.00020532845759661344,200.596
more accurate points of interest,18.058967199999998,-66.03178539999999,2019-08-05 17:11:06+00:00,0.00020532845759661344,201.316
more accurate points of interest,18.058965399999998,-66.0317892,2019-08-05 17:11:15+00:00,0.00020532845759661344,201.686
more accurate points of interest,18.058969,-66.0317978,2019-08-05 17:11:28+00:00,0.00020532845759661344,202.226
more accurate points of interest,18.0589802,-66.0318028,2019-08-05 17:12:27+00:00,0.00020532845759661344,202.406
more accurate points of interest,18.0589988,-66.0318096,2019-08-05 17:12:29+00:00,0.00020532845759661344,203.29600000000002
more accurate points of interest,18.059023,-66.0318094,2019-08-05 17:12:31+00:00,0.00020532845759661344,204.07600000000002
more accurate points of interest,18.0590452,-66.0318072,2019-08-05 17:12:33+00:00,0.00020532845759661344,204.806
more accurate points of interest,18.0590636,-66.03179779999999,2019-08-05 17:12:35+00:00,0.00020532845759661344,205.466
more accurate points of interest,18.0590812,-66.0317914,2019-08-05 17:12:38+00:00,0.00020532845759661344,205.95600000000002
more accurate points of interest,18.0590992,-66.03178100000001,2019-08-05 17:13:50+00:00,0.00020532845759661344,206.496
more accurate points of interest,18.0591198,-66.03177439999999,2019-08-05 17:13:53+00:00,0.00020532845759661344,206.746
more accurate points of interest,18.059139800000004,-66.0317646,2019-08-05 17:13:55+00:00,0.00020532845759661344,207.14600000000002
more accurate points of interest,18.0591524,-66.03175060000001,2019-08-05 17:13:57+00:00,0.00020532845759661344,207.606
more accurate points of interest,18.059155800000003,-66.0317366,2019-08-05 17:14:00+00:00,0.00020532845759661344,208.096
more accurate points of interest,18.0591506,-66.0317186,2019-08-05 17:14:02+00:00,0.00020532845759661344,208.496
more accurate points of interest,18.0591428,-66.03170379999999,2019-08-05 17:14:04+00:00,0.00020532845759661344,208.336
more accurate points of interest,18.059133600000006,-66.0316912,2019-08-05 17:14:07+00:00,0.00020532845759661344,208.526
more accurate points of interest,18.05913,-66.031687,2019-08-05 17:14:17+00:00,0.00020532845759661344,208.716
more accurate points of interest,18.059128,-66.0316928,2019-08-05 17:14:48+00:00,0.00020532845759661344,210.312
more accurate points of interest,18.0591358,-66.0317002,2019-08-05 17:14:50+00:00,0.00020532845759661344,210.312
more accurate points of interest,18.059151999999997,-66.0317072,2019-08-05 17:14:52+00:00,0.00020532845759661344,210.312
more accurate points of interest,18.0591722,-66.031706,2019-08-05 17:14:54+00:00,0.00020532845759661344,210.312
more accurate points of interest,18.0591914,-66.03170060000001,2019-08-05 17:14:56+00:00,0.00020532845759661344,210.312
more accurate points of interest,18.059205600000002,-66.031689,2019-08-05 17:14:58+00:00,0.00020532845759661344,210.312
more accurate points of interest,18.059213600000003,-66.03167260000001,2019-08-05 17:15:02+00:00,0.00020532845759661344,211.44600000000003
more accurate points of interest,18.0592124,-66.0316566,2019-08-05 17:15:06+00:00,0.00020532845759661344,211.316
more accurate points of interest,18.0592202,-66.03164699999999,2019-08-05 17:15:10+00:00,0.00020532845759661344,210.312
more accurate points of interest,18.0592128,-66.03164480000001,2019-08-05 17:15:14+00:00,0.00020532845759661344,210.312
more accurate points of interest,18.0592142,-66.031646,2019-08-05 17:15:34+00:00,0.00020532845759661344,211.656
more accurate points of interest,18.059205400000003,-66.0316542,2019-08-05 17:16:00+00:00,0.00020532845759661344,212.12600000000003
more accurate points of interest,18.0592076,-66.0316622,2019-08-05 17:16:02+00:00,0.00020532845759661344,212.556
