id,lat,long,dist,elev
0,18.048194703,-66.043813471,0.0028612552199831047,125.87
1,18.057852415,-66.033943025,0.0032225075946025164,156.11200000000002
2,18.057954255,-66.03381285399999,0.0005025312000303651,159.11200000000002
3,18.057964314,-66.033791397,0.0014903146064978686,159.36200000000002
4,18.057966995999998,-66.033779997,0.0012233816612008481,159.8
5,18.057926510999998,-66.03379894,0.0026040017028370896,157.95
6,18.057868592000002,-66.03426078300001,0.003326229437041912,161.936
7,18.057872615999997,-66.034264555,0.002916175420343596,162.186
8,18.0414466,-66.035350515,0.002764235151600125,101.28
9,18.041450875,-66.035340875,0.0016625132382508275,101.38
10,18.041452803,-66.035340121,0.0015595770278578644,101.38
11,18.041460010999998,-66.03533584600001,0.0013248930886774735,101.73
12,18.040008098,-66.034636712,0.0014197966342698349,104.766
13,18.041262700999997,-66.034806529,0.004063562646699599,96.518
14,18.041261276,-66.034802841,0.0036668772135051756,96.168
15,18.045084681,-66.038207905,0.01111330798987456,97.666
16,18.057605652,-66.03446194899999,0.002232686246606848,154.47199999999998
17,18.058756404,-66.031804299,0.00012504965243712504,192.886
18,18.058753051,-66.031808825,0.0002550431313702699,193.986
19,18.058754979,-66.031808993,0.0003695634869480747,193.986
20,18.048262009000002,-66.043797545,0.0037575731091132624,128.016
21,18.033392513,-66.03261575100001,0.00453985928357546,103.854
22,18.033645563,-66.032670401,0.0010490880332440133,101.016
23,18.032893874000003,-66.032032957,0.0026661524035213107,106.68
24,18.03289027,-66.032090709,0.0008074098110977401,106.68
25,18.032896305,-66.032003621,0.002799384043484493,108.204
26,18.032919355,-66.032043602,0.002690000800640685,108.204
27,18.032907704,-66.032042429,0.0036428216111591095,108.204
28,18.032643506,-66.031784769,0.0002489028149542645,105.156
29,18.034249647,-66.029807897,0.003037130864360355,120.396
30,18.034548797,-66.029995652,0.002828367006291636,118.872
31,18.034496829000002,-66.030053487,0.003729881567528364,117.348
32,18.034898825,-66.029796833,0.0019179833345345503,125.822
33,18.033843124,-66.029766826,0.004704417698363043,124.52199999999999
34,18.033833401,-66.029795995,0.0032076081279262506,123.75999999999999
35,18.03367205,-66.029772693,0.0018561317217281703,123.16
36,18.031265857,-66.03081489899999,0.00556794607145878,75.476
37,18.031228557000002,-66.030821018,0.0015960049084482134,74.976
38,18.045859002,-66.040298101,0.005766370847777062,127.684
39,18.04392253,-66.039556637,0.0007838266417103143,113.726
40,18.044065358,-66.039712625,0.0012530020567050222,114.988
41,18.043048382000002,-66.03330725800001,0.0007173960196374347,113.012
42,18.043053243,-66.033305414,0.0007558371587382494,112.162
43,18.04305098,-66.03330424100001,0.001036350231486924,112.912
44,18.04302441,-66.033327039,0.0018521629759891745,115.824
45,18.043017536,-66.03332486,0.002174359604645366,115.824
46,18.040030226,-66.034648865,0.0012470490916796724,107.928
47,18.036434809,-66.03371051100001,0.0019809801512373237,98.556
48,18.036427516,-66.033661226,0.003629132838263622,99.356
49,18.036380243,-66.034251982,0.0018594348762124868,95.744
50,18.036371861,-66.034269584,0.001307249017664742,95.432
51,18.036407316,-66.03420152300001,0.0002821066624132147,96.094
52,18.036621306,-66.03323911300001,0.0008233647986071469,102.33
53,18.032214772,-66.032727817,0.002927787219174145,77.7
54,18.041323218,-66.034921948,0.003321293962750072,96.318
55,18.041273095,-66.034908118,0.005468563355059504,97.536
56,18.040947877,-66.034862101,0.0009076342738783844,98.03
57,18.040961204000002,-66.034859335,0.0018145018095261343,99.06
58,18.041439978,-66.03527993899999,0.0026349349668728732,99.06
59,18.041443415,-66.035279101,0.003019433624808329,99.06
60,18.041442996,-66.035276921,0.003078481999059814,99.06
61,18.041437212,-66.035275497,0.0026184141026446284,99.06
62,18.041560762,-66.035124706,0.003034479399122645,96.068
63,18.030174533,-66.029333398,0.011839409439877371,71.826
64,18.030174701,-66.029331721,0.011834267526195088,71.626
